month,day,atmosphere,temperature,humidity,precipitation,snow_falling,snow_depth
11,1,1010.1,13.3,84,15.5,0,0
11,2,1012.5,11.3,69,2,0,0
11,3,1009.2,14.4,79,1,0,0
11,4,1020.1,8.2,65,0,0,0
11,5,1026.4,7.7,61,0,0,0
11,6,1009.2,14.2,82,5,0,0
11,7,999.5,13.2,83,8,0,0
11,8,1017.9,8.3,79,5.5,0,0
11,9,1019.7,10.6,73,0,0,0
11,10,1008.4,11.2,78,7.5,0,0
11,11,1013.4,2.5,58,1,0,0
11,12,1013.5,2.2,67,0,0,0
11,13,1007.1,3.3,61,0,0,0
11,14,1013.5,3.4,73,4,0,0
11,15,1022.2,4.7,64,0,0,0
11,16,1023.4,6.6,69,0,0,0
11,17,1004,10.5,86,47.5,0,0
11,18,988.4,9.7,57,0,0,0
11,19,995.9,8.7,62,2,0,0
11,20,1002.8,5.4,65,5,0,0
11,21,1012.1,8.5,61,0,0,0
11,22,1011.1,9.9,71,0,0,0
11,23,1001.3,13,75,0.5,0,0
11,24,1002.5,3.5,70,14.5,14,14
11,25,1015.7,-3.1,57,0,0,13
11,26,1017.6,-1.1,82,1,3,9
11,27,1011.5,2.1,78,0,0,8
11,28,997.5,5.5,79,4.5,1,2
11,29,1006,-2.1,74,2,3,4
11,30,1008.6,-4.3,65,0,0,3
12,1,1010.2,-3.2,63,0,0,2
12,2,1013.9,-0.9,66,0,0,2
12,3,1014.9,2.5,66,0,0,1
12,4,1016.5,2.9,65,0,0,0
12,5,1013.4,5.6,77,0,0,0
12,6,1008.9,5.2,82,0,0,0
12,7,995.3,7.7,79,3,0,0
12,8,1009.6,1.6,62,0.5,2,2
12,9,1009.7,7.7,83,4.5,0,0
12,10,1017.6,0.3,57,0,0,0
12,11,1022,-1.9,64,0,1,1
12,12,1014.1,-0.7,78,7,6,6
12,13,1018.2,-1.9,58,0.5,1,7
12,14,1022,-1.9,54,0,0,5
12,15,1014.5,-1,63,0,2,5
12,16,1001.3,-0.8,85,3.5,5,10
12,17,998.6,-1.4,67,3,2,8
12,18,1015,-6.2,55,0,0,7
